#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0021v01 5.1604 -9.0390 -20.8933 -25.7634 -19.0101 -5.2421 10.4310 18.8531 17.1623 13.7143 8.8833 2.7886 -0.3167 -4.7692 -7.2753 -8.6160 -4.3069 -1.7729 4.8774 6.1633 7.8620 3.1150 -2.4866 -6.1764 -7.8409 
geo020s08a0021v02 -1.8352 -0.5954 8.4970 12.7206 13.9981 9.5406 2.2955 -2.2661 -11.9847 -43.6582 -34.4046 -13.1130 25.5928 35.9766 28.2356 12.7033 -8.7397 -18.8704 -24.6696 -12.5913 -1.9327 6.2641 13.4113 16.6110 10.8661 
geo020s08a0022v01 -1.2855 -4.6402 -10.6839 -13.9160 -2.0150 13.0146 21.6627 22.9279 10.8364 1.6180 -9.0515 -15.0786 -21.1115 -15.7745 -13.3343 -18.9949 -40.3502 -32.4868 -23.0105 -21.6279 -16.3707 -4.0781 5.4512 10.4608 22.0959 
geo020s08a0022v02 -12.9392 -16.6786 -15.5139 -14.4694 -4.9503 2.8623 5.6078 9.4349 11.5813 12.7537 13.4893 5.2183 -1.1867 -1.6316 -1.9465 0.5570 3.4751 2.9773 -0.6375 -5.9928 -9.1679 -8.2743 -5.1484 -4.0113 -2.4649 
geo020s08a0023v01 6.4137 6.5400 3.8555 0.8540 -2.9411 -5.1073 -1.2605 -0.2530 -3.7678 -14.3046 -30.4518 -24.7141 4.2031 32.3686 41.5602 33.0306 13.4565 -10.0824 -28.3767 -30.6130 -15.2392 8.8747 30.8753 37.9542 28.2470 
geo020s08a0023v02 -13.2357 -25.3771 -24.2466 -14.6786 -10.5812 -5.2583 1.4817 5.0617 9.3205 9.3119 5.0344 -1.1547 -4.8555 -3.1804 -1.8670 -1.5083 3.2832 8.2631 5.6576 7.9909 9.4037 6.0743 2.2894 -4.4711 -5.9231 
geo020s08a0024v01 9.8347 8.8016 6.6852 0.4256 -3.3511 -3.7812 -3.8620 -6.4992 -8.2948 -7.9454 -8.8654 -1.7113 -2.8680 -3.5113 -6.3663 -6.6729 -3.7096 0.9399 3.9395 3.9517 6.5962 4.8883 3.2651 1.8309 5.5260 
geo020s08a0024v02 -9.3410 -8.1666 -4.7927 -8.4057 -16.7635 -14.9143 5.8609 30.8235 34.9228 23.5287 6.9625 -7.8091 -23.1742 -31.3685 -24.4499 -5.1500 13.5182 40.8301 42.7615 24.0028 -7.8405 -27.9133 -39.1406 -24.6463 -4.4973 
geo020s08a0025v02 21.8728 2.9053 -10.2223 -28.4662 -40.3201 -39.3815 -16.5042 18.1850 46.9467 51.4568 32.3922 4.9236 -22.8730 -36.9409 -33.4832 -13.9757 6.4794 17.0274 16.7816 14.5855 13.3602 17.0662 16.5386 11.2402 3.2421 
geo020s08a0026v01 15.9475 4.4514 -4.7982 -8.4576 -9.1971 -11.1241 -11.9768 -13.5621 -11.8140 -7.3527 -3.8219 2.5253 6.1197 8.6238 9.1153 10.7094 10.8468 12.4782 4.3705 -1.4756 -3.4326 -4.9917 -4.6581 -7.2280 -5.2711 
geo020s08a0026v02 -12.4158 -14.7269 -15.4469 -17.4762 -15.9296 -10.6258 0.3044 9.8948 16.8611 15.9446 12.7552 10.4833 3.7332 -0.3705 -1.3271 1.4923 2.5773 0.0813 -6.2803 -5.1877 -2.7083 -1.0051 -0.9413 -0.2306 1.0945 
geo020s08a0027v01 10.0126 3.1134 -5.7775 -4.8603 -2.2914 -5.2389 -4.4331 -5.3939 -4.1180 -6.5456 -4.1642 -0.9634 2.8528 2.5444 4.7014 3.1233 1.8452 2.5886 2.9300 5.4673 -0.0882 -1.0082 -1.4020 -4.7297 -4.5153 
geo020s08a0029v02 6.4512 4.5583 1.1774 -3.9036 -7.8251 -9.1863 -8.0112 -5.0838 -0.5459 3.1489 4.9240 3.9543 -0.1315 0.6454 0.4805 -1.3423 0.9607 -1.8897 -11.5072 -17.2530 -8.4407 13.7510 31.7728 28.9322 16.4630 
geo020s08a0030v01 -45.0853 -35.7271 -20.6983 2.0483 10.6987 13.4749 8.7688 6.7009 4.7585 4.5289 1.2404 -5.1737 -3.0871 -0.7546 -2.1156 -2.2832 -0.9157 0.5378 0.7385 -1.7730 -4.4310 -6.2696 -4.5199 -3.1134 0.7202 
geo020s08a0030v02 28.2431 28.7936 22.8448 10.4847 -7.4580 -20.9736 -22.7393 -16.5046 -5.7995 4.3001 5.9261 7.4445 8.6105 10.9185 8.6439 -3.9299 -16.1644 -21.6847 -21.4413 -19.2674 -14.2496 -10.3314 -4.9941 0.1837 1.1048 
geo020s08a0033v02 41.1447 37.5774 14.6225 -10.7769 -32.4923 -42.1952 -32.9429 -13.7814 5.2364 12.5880 11.3932 8.8735 10.9612 10.0761 9.2370 7.4240 2.2304 -5.8454 -9.1114 -23.1871 -15.2109 -3.2437 2.1946 5.2185 7.8171 
geo020s08a0034v01 40.6778 45.1190 38.6003 30.8974 22.9214 16.5060 3.0298 -8.8383 -14.4140 -17.9439 -28.8018 -38.4732 -41.3425 -29.8330 -16.1184 -0.2388 15.9489 30.5737 25.4322 14.5389 14.0237 20.2541 26.6041 82.8936 -40.8281 
geo020s08a0034v02 -16.8200 6.4083 22.3558 18.6284 4.9279 -7.9030 -20.0643 -33.3211 -40.7654 -28.9414 2.6694 36.4073 52.4837 47.1393 19.1855 -12.9378 -34.0630 -35.2647 -33.3259 -23.7410 -17.2834 -10.7471 -4.6000 2.1313 14.3331 
geo020s08a0035v01 -13.0965 2.0272 16.8113 22.8668 13.5322 3.2032 -5.8362 -6.7057 -6.8950 -5.8137 -9.9922 -9.0488 -7.2289 -7.0162 -7.6956 -2.8570 2.0226 7.6282 11.2218 12.4276 7.1015 5.8361 2.1102 5.3366 4.5143 
geo020s08a0037v01 -30.0299 -28.3472 -24.4896 -25.0255 -28.2973 -25.2488 -13.6788 5.1417 20.8006 36.4853 45.6537 37.1941 29.0614 18.9313 11.9597 14.3128 19.7807 8.4859 -3.2649 -13.5848 -24.9350 -70.1650 -68.8864 -47.2969 -12.6472 
geo020s08a0039v01 9.4488 6.0078 2.8534 -7.0199 -9.1528 -11.1117 -6.7096 -5.8133 -5.6137 -2.6188 0.7390 -1.0522 1.5138 0.5813 8.4630 9.0016 11.7072 6.3219 -71.9892 -24.8322 2.8580 14.4808 20.4162 27.2927 24.6274 
geo020s08a0041v02 -17.2909 -13.9579 1.0609 20.2584 28.4155 24.4136 14.2232 -1.9237 -21.3416 -28.7215 -19.7560 3.8832 16.7177 17.2139 3.8938 -10.2474 -19.8406 -23.8985 -16.5163 -2.7107 9.7412 19.7270 15.0772 7.0388 -1.0932 
geo020s08a0042v01 3.0418 11.0354 10.4679 6.9318 3.6886 4.6500 5.0261 0.9419 -2.1720 -6.4116 -8.2207 -6.3466 -3.9347 0.1234 3.1387 3.4035 2.1300 -0.1282 -0.4180 -0.8611 1.6936 2.0212 3.8312 1.8262 -0.2669 
geo020s08a0042v02 7.9463 7.3343 2.2890 -5.0979 -4.1448 -4.0859 -5.3523 -6.1932 -7.4637 -10.2925 -13.8155 -10.6715 -7.5246 1.5602 11.7123 15.7256 19.8697 19.5638 19.8217 9.0548 -12.8600 -25.4176 -8.7301 17.3170 10.8643 
geo020s08a0045v01 -1.0425 -1.6095 4.6579 5.5018 6.5397 3.7363 -0.7624 -4.8660 -6.6785 -2.8802 2.7135 7.6227 7.7614 4.3188 -4.6603 -3.4984 5.1002 11.2707 10.5590 3.9470 -22.1796 -41.5132 -27.1691 9.8850 25.4303 
geo020s08a0047v01 9.6053 20.7039 19.1230 5.0461 -13.3774 -23.0745 -31.2770 -27.7300 -14.7284 1.4327 19.5225 22.6749 19.1304 11.1992 -9.1416 -10.8845 -12.3831 -2.2780 -3.4004 -42.2328 -12.0615 11.3943 20.3675 18.8910 16.0041 
geo020s08a0047v02 -2.6764 -8.6933 -14.7095 -21.0249 -22.0608 -20.8675 -17.4088 -12.1442 -1.5667 4.5881 10.8939 13.1850 13.1317 12.6171 7.2985 3.3716 2.3788 3.4462 2.3138 0.8371 -3.1601 -7.4024 -9.0250 -9.8456 -6.3358 
